Message Size (bytes),Average Latency (ms)
877,Average latency: 0.16 ms
878,Average latency: 0.16 ms
879,Average latency: 0.17 ms
880,Average latency: 0.17 ms
881,Average latency: 0.17 ms
882,Average latency: 0.17 ms
883,Average latency: 0.17 ms
884,Average latency: 0.17 ms
885,Average latency: 0.16 ms
886,Average latency: 0.16 ms
887,Average latency: 0.16 ms
888,Average latency: 0.16 ms
889,Average latency: 0.16 ms
890,Average latency: 0.16 ms
891,Average latency: 0.16 ms
892,Average latency: 0.16 ms
893,Average latency: 0.16 ms
894,Average latency: 0.16 ms
895,Average latency: 0.16 ms
896,Average latency: 0.16 ms
897,Average latency: 0.16 ms
898,Average latency: 0.16 ms
899,Average latency: 0.16 ms
900,Average latency: 0.16 ms
901,Average latency: 0.17 ms
902,Average latency: 0.17 ms
903,Average latency: 0.16 ms
904,Average latency: 0.17 ms
905,Average latency: 0.16 ms
906,Average latency: 0.17 ms
907,Average latency: 0.16 ms
908,Average latency: 0.16 ms
909,Average latency: 0.16 ms
910,Average latency: 0.17 ms
911,Average latency: 0.17 ms
912,Average latency: 0.16 ms
913,Average latency: 0.17 ms
914,Average latency: 0.17 ms
915,Average latency: 0.17 ms
916,Average latency: 0.17 ms
917,Average latency: 0.17 ms
918,Average latency: 0.17 ms
919,Average latency: 0.16 ms
920,Average latency: 0.17 ms
921,Average latency: 0.16 ms
922,Average latency: 0.16 ms
923,Average latency: 0.16 ms
924,Average latency: 0.17 ms
925,Average latency: 0.17 ms
926,Average latency: 0.17 ms
